Country Name,Code,Indicator Name,Indicator Code,2019,2020,2021,2022
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,4021.983266,3354.153164,3700.314697,4342.637968
East Asia & Pacific (excluding high income),EAP,GDP per capita (current US$),NY.GDP.PCAP.CD,8172.023756,8262.990946,9813.002261,9954.276857
Early-demographic dividend,EAR,GDP per capita (current US$),NY.GDP.PCAP.CD,3521.644206,3242.515083,3727.933835,4104.085948
East Asia & Pacific,EAS,GDP per capita (current US$),NY.GDP.PCAP.CD,11484.41727,11487.31134,13138.72467,12930.69168
Europe & Central Asia (excluding high income),ECA,GDP per capita (current US$),NY.GDP.PCAP.CD,8153.193434,7477.878431,8912.814076,10379.77294
Europe & Central Asia,ECS,GDP per capita (current US$),NY.GDP.PCAP.CD,24892.39355,24021.79603,27420.81343,27536.81293
Ecuador,ECU,GDP per capita (current US$),NY.GDP.PCAP.CD,6233.258167,5645.19929,5965.132871,6391.282484
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,3017.258336,3571.556907,3886.722498,4295.407496
Euro area,EMU,GDP per capita (current US$),NY.GDP.PCAP.CD,38902.82478,37914.8578,42527.84271,40787.5643
Eritrea,ERI,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,
Spain,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,29581.51855,26984.29628,30488.82095,29674.54429
Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,23424.48471,23595.24368,27943.70122,28247.09599
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,840.4496013,918.6525941,925.0006976,1027.585911
European Union,EUU,GDP per capita (current US$),NY.GDP.PCAP.CD,35079.5343,34356.57462,38721.07794,37433.27845
Fragile and conflict affected situations,FCS,GDP per capita (current US$),NY.GDP.PCAP.CD,1919.783251,1700.985671,1779.313291,1870.337198
Finland,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,48629.85823,49169.71934,53504.69365,50871.93045
Fiji,FJI,GDP per capita (current US$),NY.GDP.PCAP.CD,5927.724208,4815.689148,4656.051341,5356.164396
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,40494.89829,39179.74426,43671.30841,40886.25327
Faroe Islands,FRO,GDP per capita (current US$),NY.GDP.PCAP.CD,63203.74478,62234.96868,69108.20658,66979.27732
"Micronesia, Fed. Sts.",FSM,GDP per capita (current US$),NY.GDP.PCAP.CD,3734.994927,3639.412699,3588.759933,3713.955362
Gabon,GAB,GDP per capita (current US$),NY.GDP.PCAP.CD,7523.862281,6680.082665,8635.797144,8820.347337
United Kingdom,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,42662.53537,40217.00901,46869.75906,46125.25575
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,4696.150586,4255.742993,5023.274384,6674.95696
Ghana,GHA,GDP per capita (current US$),NY.GDP.PCAP.CD,2167.92544,2176.576218,2422.085913,2203.558935
Gibraltar,GIB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,
Guinea,GIN,GDP per capita (current US$),NY.GDP.PCAP.CD,1043.899886,1073.659339,1189.175999,1515.167948
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,722.8753563,704.0304628,772.1514505,808.2782815
Guinea-Bissau,GNB,GDP per capita (current US$),NY.GDP.PCAP.CD,730.6114323,710.258133,795.118605,775.8289657
Equatorial Guinea,GNQ,GDP per capita (current US$),NY.GDP.PCAP.CD,7317.390024,6198.942524,7406.084975,7182.265382
Greece,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,19143.88762,17617.29151,20310.68248,20867.26909
Grenada,GRD,GDP per capita (current US$),NY.GDP.PCAP.CD,9887.920742,8437.536782,9010.5128,9689.0827
Greenland,GRL,GDP per capita (current US$),NY.GDP.PCAP.CD,53309.20359,54693.07668,57116.29577,
Guatemala,GTM,GDP per capita (current US$),NY.GDP.PCAP.CD,4647.807541,4609.897258,5029.477555,5473.208564
Guam,GUM,GDP per capita (current US$),NY.GDP.PCAP.CD,37752.63308,34780.86166,35904.86355,
Guyana,GUY,GDP per capita (current US$),NY.GDP.PCAP.CD,6477.296726,6863.074346,9994.645704,18199.47484
High income,HIC,GDP per capita (current US$),NY.GDP.PCAP.CD,44725.99509,43457.69824,48535.46582,49607.24655
"Hong Kong SAR, China",HKG,GDP per capita (current US$),NY.GDP.PCAP.CD,48359.0012,46109.22999,49764.79312,48983.62172
Honduras,HND,GDP per capita (current US$),NY.GDP.PCAP.CD,2519.366185,2354.121434,2771.722654,3040.173046
Heavily indebted poor countries (HIPC),HPC,GDP per capita (current US$),NY.GDP.PCAP.CD,985.1304866,968.4658813,1047.075198,1109.014261
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,15120.9029,14269.90885,17809.03239,18570.404
Haiti,HTI,GDP per capita (current US$),NY.GDP.PCAP.CD,1345.475055,1283.141228,1823.742224,1748.257132
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,16786.21364,16125.60941,18753.04695,18390.185
IBRD only,IBD,GDP per capita (current US$),NY.GDP.PCAP.CD,6460.501165,6177.526395,7284.449127,7682.790889
IDA & IBRD total,IBT,GDP per capita (current US$),NY.GDP.PCAP.CD,5140.641855,4901.569304,5718.690003,6007.370761
IDA total,IDA,GDP per capita (current US$),NY.GDP.PCAP.CD,1434.100097,1373.087617,1461.411109,1534.023093
IDA blend,IDB,GDP per capita (current US$),NY.GDP.PCAP.CD,1876.654806,1722.41777,1844.32001,1933.556473
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,4151.227554,3895.618152,4334.215983,4787.999308
IDA only,IDX,GDP per capita (current US$),NY.GDP.PCAP.CD,1214.582592,1200.249071,1272.350348,1337.013175
Isle of Man,IMN,GDP per capita (current US$),NY.GDP.PCAP.CD,87152.45302,79530.60548,,
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,2050.1638,1913.219733,2238.127142,2410.888021
Not classified,INX,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,
Ireland,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,80848.3019,85973.08849,102001.7982,103983.2913
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),NY.GDP.PCAP.CD,3276.753265,2746.419483,4084.200305,4669.57138
Iraq,IRQ,GDP per capita (current US$),NY.GDP.PCAP.CD,5621.181695,4251.337253,4770.835343,5937.195466
Iceland,ISL,GDP per capita (current US$),NY.GDP.PCAP.CD,68452.23622,58848.41812,68710.2442,73466.77867
Israel,ISR,GDP per capita (current US$),NY.GDP.PCAP.CD,44452.23256,44846.7916,52129.51596,54930.93881
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,33673.75096,31922.91916,36449.25834,34776.42323
Jamaica,JAM,GDP per capita (current US$),NY.GDP.PCAP.CD,5626.170473,4897.26475,5183.581018,6047.216457
Jordan,JOR,GDP per capita (current US$),NY.GDP.PCAP.CD,4159.653754,3998.673138,4152.757954,4311.000046
Japan,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,40415.95676,40040.76551,40058.53733,34017.27181
Kazakhstan,KAZ,GDP per capita (current US$),NY.GDP.PCAP.CD,9812.595526,9121.636409,10373.78979,11492.03194
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1970.08007,1936.250755,2069.661129,2099.301938
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1451.515638,1256.929226,1365.508304,1655.072698
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,1671.3854,1577.91174,1625.235021,1759.608023
Kiribati,KIR,GDP per capita (current US$),NY.GDP.PCAP.CD,1410.014643,1403.993853,1766.144289,1701.970665
St. Kitts and Nevis,KNA,GDP per capita (current US$),NY.GDP.PCAP.CD,23204.97056,18553.65714,18035.38614,20262.26714
"Korea, Rep.",KOR,GDP per capita (current US$),NY.GDP.PCAP.CD,31902.4169,31721.29891,35142.26427,32422.57449
Kuwait,KWT,GDP per capita (current US$),NY.GDP.PCAP.CD,30666.23713,24297.7108,32324.8409,41079.5227
Latin America & Caribbean (excluding high income),LAC,GDP per capita (current US$),NY.GDP.PCAP.CD,8246.516673,6889.469861,7873.980782,8971.780372
Lao PDR,LAO,GDP per capita (current US$),NY.GDP.PCAP.CD,2598.505523,2593.355097,2535.623434,2054.430781
Lebanon,LBN,GDP per capita (current US$),NY.GDP.PCAP.CD,8925.42186,5599.957523,4136.146575,
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,665.8784476,597.5296919,675.6631858,754.5328429
Libya,LBY,GDP per capita (current US$),NY.GDP.PCAP.CD,10542.42902,7034.658364,5908.951323,6716.095985
St. Lucia,LCA,GDP per capita (current US$),NY.GDP.PCAP.CD,11773.42748,8951.524766,10916.22708,13030.92848
Latin America & Caribbean,LCN,GDP per capita (current US$),NY.GDP.PCAP.CD,8772.562194,7393.174719,8478.633406,9559.213456
Least developed countries: UN classification,LDC,GDP per capita (current US$),NY.GDP.PCAP.CD,1098.256155,1081.352515,1151.571315,1266.643763
Low income,LIC,GDP per capita (current US$),NY.GDP.PCAP.CD,686.2226791,656.6866746,678.65321,750.4669425
Liechtenstein,LIE,GDP per capita (current US$),NY.GDP.PCAP.CD,167259.1603,165287.1868,197504.5489,
Sri Lanka,LKA,GDP per capita (current US$),NY.GDP.PCAP.CD,4082.694049,3852.389091,3996.571995,3354.383408
Lower middle income,LMC,GDP per capita (current US$),NY.GDP.PCAP.CD,2238.51882,2123.350264,2405.603576,2561.457576
Low & middle income,LMY,GDP per capita (current US$),NY.GDP.PCAP.CD,4966.26046,4735.357322,5526.296135,5811.430475
Lesotho,LSO,GDP per capita (current US$),NY.GDP.PCAP.CD,1061.223356,917.3563813,1029.506189,969.9357602
Late-demographic dividend,LTE,GDP per capita (current US$),NY.GDP.PCAP.CD,9979.383421,9722.310421,11556.48646,12072.76719
Lithuania,LTU,GDP per capita (current US$),NY.GDP.PCAP.CD,19615.54915,20381.85578,23849.6157,25064.80891
Luxembourg,LUX,GDP per capita (current US$),NY.GDP.PCAP.CD,112726.4397,116905.3704,133711.7944,125006.0218
Latvia,LVA,GDP per capita (current US$),NY.GDP.PCAP.CD,17883.34941,18096.20271,20930.39824,21779.50426
"Macao SAR, China",MAC,GDP per capita (current US$),NY.GDP.PCAP.CD,82998.6361,37474.73459,45104.89218,34584.85909
St. Martin (French part),MAF,GDP per capita (current US$),NY.GDP.PCAP.CD,19691.61671,,20320.71688,
Morocco,MAR,GDP per capita (current US$),NY.GDP.PCAP.CD,3498.582764,3258.269043,3767.524902,3441.991455
Monaco,MCO,GDP per capita (current US$),NY.GDP.PCAP.CD,199382.8386,182537.3874,235132.7842,240862.1824
Moldova,MDA,GDP per capita (current US$),NY.GDP.PCAP.CD,4404.950422,4376.242493,5274.744847,5714.430488
Madagascar,MDG,GDP per capita (current US$),NY.GDP.PCAP.CD,512.2796656,462.4042288,503.3520812,516.592616
Maldives,MDV,GDP per capita (current US$),NY.GDP.PCAP.CD,11349.85926,7216.816371,10076.31753,11780.81691
Middle East & North Africa,MEA,GDP per capita (current US$),NY.GDP.PCAP.CD,7444.855634,6579.706726,7696.006608,8973.862585
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,10434.57837,8894.89065,10359.14986,11496.52287
Marshall Islands,MHL,GDP per capita (current US$),NY.GDP.PCAP.CD,5186.833842,5545.600267,6130.437137,6225.179222
Middle income,MIC,GDP per capita (current US$),NY.GDP.PCAP.CD,5442.662294,5197.802353,6085.764133,6407.498324
North Macedonia,MKD,GDP per capita (current US$),NY.GDP.PCAP.CD,6070.388054,5965.450232,6778.562878,6591.471314
Mali,MLI,GDP per capita (current US$),NY.GDP.PCAP.CD,840.1757464,822.9061368,881.5100887,833.2972551
Malta,MLT,GDP per capita (current US$),NY.GDP.PCAP.CD,31727.00707,29597.63616,34881.29127,34127.51056
Myanmar,MMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1415.379676,1479.613689,1231.694666,1149.211218
Middle East & North Africa (excluding high income),MNA,GDP per capita (current US$),NY.GDP.PCAP.CD,3475.858429,3120.088264,3590.643853,3998.585763
Montenegro,MNE,GDP per capita (current US$),NY.GDP.PCAP.CD,8909.653876,7677.371321,9465.96153,10093.4387
Mongolia,MNG,GDP per capita (current US$),NY.GDP.PCAP.CD,4394.94715,4041.174146,4566.14013,5045.5047
Northern Mariana Islands,MNP,GDP per capita (current US$),NY.GDP.PCAP.CD,23687.27185,17302.92214,,
Mozambique,MOZ,GDP per capita (current US$),NY.GDP.PCAP.CD,512.2157638,456.581929,504.0377871,558.2986064
Mauritania,MRT,GDP per capita (current US$),NY.GDP.PCAP.CD,1800.875187,1836.292411,1998.394003,2065.155516
Mauritius,MUS,GDP per capita (current US$),NY.GDP.PCAP.CD,11403.25279,9011.042884,9068.980181,10256.23031
Malawi,MWI,GDP per capita (current US$),NY.GDP.PCAP.CD,584.3628673,622.1845913,633.6097332,645.1586921
Malaysia,MYS,GDP per capita (current US$),NY.GDP.PCAP.CD,11132.10274,10164.34443,11134.62295,11993.18761
North America,NAC,GDP per capita (current US$),NY.GDP.PCAP.CD,63203.37389,61483.00075,68399.10275,74160.99677
Namibia,NAM,GDP per capita (current US$),NY.GDP.PCAP.CD,5126.176143,4252.04172,4919.188955,5031.11503
New Caledonia,NCL,GDP per capita (current US$),NY.GDP.PCAP.CD,34934.57943,34877.63563,37247.49312,35745.18505
Niger,NER,GDP per capita (current US$),NY.GDP.PCAP.CD,549.8161278,564.8416623,590.6294948,585.4049292
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,2334.023643,2074.613747,2065.77441,2162.633734
Nicaragua,NIC,GDP per capita (current US$),NY.GDP.PCAP.CD,1905.638328,1876.607378,2064.929246,2255.425995
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,52476.27325,52162.57012,58727.87055,57025.01246
Norway,NOR,GDP per capita (current US$),NY.GDP.PCAP.CD,76430.58895,68340.0181,93072.89251,108729.1869
Nepal,NPL,GDP per capita (current US$),NY.GDP.PCAP.CD,1185.682318,1139.189892,1229.394205,1336.546047
Nauru,NRU,GDP per capita (current US$),NY.GDP.PCAP.CD,10316.52782,10124.70062,11632.6925,11970.93828
New Zealand,NZL,GDP per capita (current US$),NY.GDP.PCAP.CD,42796.43058,41760.59478,49996.42067,48418.59166
OECD members,OED,GDP per capita (current US$),NY.GDP.PCAP.CD,39583.2257,38402.1176,42731.28895,43476.37804
Oman,OMN,GDP per capita (current US$),NY.GDP.PCAP.CD,19132.15227,16707.62301,19509.46646,25056.79486
Other small states,OSS,GDP per capita (current US$),NY.GDP.PCAP.CD,13574.60779,11686.93411,13975.16651,16003.09753
Pakistan,PAK,GDP per capita (current US$),NY.GDP.PCAP.CD,1437.165833,1322.314785,1506.108293,1588.879829
Panama,PAN,GDP per capita (current US$),NY.GDP.PCAP.CD,16472.83175,13293.3332,15491.2898,17357.62863
Peru,PER,GDP per capita (current US$),NY.GDP.PCAP.CD,6955.880824,6063.626923,6635.464148,7125.829931
Philippines,PHL,GDP per capita (current US$),NY.GDP.PCAP.CD,3413.849044,3224.422811,3460.539382,3498.509806
Palau,PLW,GDP per capita (current US$),NY.GDP.PCAP.CD,15738.46701,14349.31682,12921.82732,
Papua New Guinea,PNG,GDP per capita (current US$),NY.GDP.PCAP.CD,2593.775554,2446.084687,2624.60411,3115.922923
Poland,POL,GDP per capita (current US$),NY.GDP.PCAP.CD,15700.01358,15816.8204,18050.27944,18688.00449
Pre-demographic dividend,PRE,GDP per capita (current US$),NY.GDP.PCAP.CD,1489.89883,1330.42077,1417.16419,1558.021277
Puerto Rico,PRI,GDP per capita (current US$),NY.GDP.PCAP.CD,32916.8668,31427.42911,32601.56564,35208.63719
"Korea, Dem. People's Rep.",PRK,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,
Portugal,PRT,GDP per capita (current US$),NY.GDP.PCAP.CD,23330.81729,22242.40642,24661.16649,24515.26585
Paraguay,PRY,GDP per capita (current US$),NY.GDP.PCAP.CD,5807.838794,5353.348065,5959.441794,6153.055657
West Bank and Gaza,PSE,GDP per capita (current US$),NY.GDP.PCAP.CD,3656.858271,3233.568638,3678.635657,3789.327966
Pacific island small states,PSS,GDP per capita (current US$),NY.GDP.PCAP.CD,4222.882129,3698.09906,3650.854152,3912.185639
Post-demographic dividend,PST,GDP per capita (current US$),NY.GDP.PCAP.CD,45700.0608,44514.12268,49527.66013,50482.11313
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,20093.20858,19185.69777,20230.24105,18984.8511
Qatar,QAT,GDP per capita (current US$),NY.GDP.PCAP.CD,62827.39695,52315.66008,66858.74172,87661.45015
Romania,ROU,GDP per capita (current US$),NY.GDP.PCAP.CD,12957.99911,13047.45666,14946.62497,15786.80174
Russian Federation,RUS,GDP per capita (current US$),NY.GDP.PCAP.CD,11536.25879,10194.44141,12532.05078,15270.70605
Rwanda,RWA,GDP per capita (current US$),NY.GDP.PCAP.CD,806.1008203,773.7732609,821.1713948,966.2320714
South Asia,SAS,GDP per capita (current US$),NY.GDP.PCAP.CD,1965.094236,1853.845901,2136.192891,2287.416124
Saudi Arabia,SAU,GDP per capita (current US$),NY.GDP.PCAP.CD,23405.7061,20398.06099,24315.61855,30447.88371
Sudan,SDN,GDP per capita (current US$),NY.GDP.PCAP.CD,748.0109253,608.3325195,749.7067871,1102.146484
Senegal,SEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1462.678353,1492.475903,1633.560119,1598.726433
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,66070.48681,61273.99166,77710.08924,82807.62906
Solomon Islands,SLB,GDP per capita (current US$),NY.GDP.PCAP.CD,2398.77305,2222.462119,2232.536954,2205.251805
Sierra Leone,SLE,GDP per capita (current US$),NY.GDP.PCAP.CD,506.6069138,493.4322406,504.6212876,475.7957278
El Salvador,SLV,GDP per capita (current US$),NY.GDP.PCAP.CD,4280.288404,3961.726633,4664.311223,5127.321668
San Marino,SMR,GDP per capita (current US$),NY.GDP.PCAP.CD,47287.39839,45321.48922,54982.45171,
Somalia,SOM,GDP per capita (current US$),NY.GDP.PCAP.CD,589.4658919,556.578066,576.5236782,592.103122
Serbia,SRB,GDP per capita (current US$),NY.GDP.PCAP.CD,7417.206608,7733.803469,9232.961606,9537.682867
Sub-Saharan Africa (excluding high income),SSA,GDP per capita (current US$),NY.GDP.PCAP.CD,1629.987221,1489.449067,1634.265336,1700.102181
South Sudan,SSD,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,
Sub-Saharan Africa,SSF,GDP per capita (current US$),NY.GDP.PCAP.CD,1631.312141,1490.349666,1635.217341,1701.245382
Small states,SST,GDP per capita (current US$),NY.GDP.PCAP.CD,12448.87375,10704.40727,12682.81722,14684.05791
Sao Tome and Principe,STP,GDP per capita (current US$),NY.GDP.PCAP.CD,1924.40815,2155.265868,2350.452701,2386.696176
Suriname,SUR,GDP per capita (current US$),NY.GDP.PCAP.CD,6690.044786,4796.533314,5026.879493,5858.824661
Slovak Republic,SVK,GDP per capita (current US$),NY.GDP.PCAP.CD,19381.89055,19552.09111,21768.14867,21256.80843
Slovenia,SVN,GDP per capita (current US$),NY.GDP.PCAP.CD,26042.44635,25558.42905,29331.0647,28439.3341
Sweden,SWE,GDP per capita (current US$),NY.GDP.PCAP.CD,51939.42974,52837.90398,61417.68088,56424.2847
Eswatini,SWZ,GDP per capita (current US$),NY.GDP.PCAP.CD,3818.540484,3372.90461,4068.573816,3986.886637
Sint Maarten (Dutch part),SXM,GDP per capita (current US$),NY.GDP.PCAP.CD,33836.77335,29223.06962,31711.61199,35873.05649
Seychelles,SYC,GDP per capita (current US$),NY.GDP.PCAP.CD,16851.11976,12020.02106,12963.05898,13250.45583
Syrian Arab Republic,SYR,GDP per capita (current US$),NY.GDP.PCAP.CD,1124.520554,537.0902346,420.6227052,
Turks and Caicos Islands,TCA,GDP per capita (current US$),NY.GDP.PCAP.CD,27795.14856,20882.26127,23158.6379,24917.59581
Chad,TCD,GDP per capita (current US$),NY.GDP.PCAP.CD,701.621201,643.7722157,685.690315,716.8043811
East Asia & Pacific (IDA & IBRD countries),TEA,GDP per capita (current US$),NY.GDP.PCAP.CD,8262.811559,8354.747371,9922.0435,10065.03475
Europe & Central Asia (IDA & IBRD countries),TEC,GDP per capita (current US$),NY.GDP.PCAP.CD,9039.80028,8455.237621,9982.81223,11342.49186
